"","year","month","date","count","demonth","wkday","deseason"
"71",2013,3,2013-03-12,547,-8.08064516129036,"Tues",-32.7509004926741
"72",2013,3,2013-03-13,636,80.9193548387096,"Wed",61.7698267286049
"73",2013,3,2013-03-14,557,1.91935483870964,"Thurs",-24.8625818220974
"74",2013,3,2013-03-15,607,51.9193548387096,"Fri",-17.5124724945263
"75",2013,3,2013-03-16,521,-34.0806451612904,"Sat",6.82550661747662
"76",2013,3,2013-03-17,426,-129.08064516129,"Sun",-26.1037118939261
"77",2013,3,2013-03-18,623,67.9193548387096,"Mon",64.5463912456905
"78",2013,3,2013-03-19,559,3.91935483870964,"Tues",-20.7509004926741
"79",2013,3,2013-03-20,540,-15.0806451612904,"Wed",-34.2301732713951
"80",2013,3,2013-03-21,507,-48.0806451612904,"Thurs",-74.8625818220974
"81",2013,3,2013-03-22,604,48.9193548387096,"Fri",-20.5124724945263
"82",2013,3,2013-03-23,488,-67.0806451612904,"Sat",-26.1744933825234
"83",2013,3,2013-03-24,451,-104.08064516129,"Sun",-1.10371189392612
"84",2013,3,2013-03-25,498,-57.0806451612904,"Mon",-60.4536087543095
"85",2013,3,2013-03-26,425,-130.08064516129,"Tues",-154.750900492674
"86",2013,3,2013-03-27,441,-114.08064516129,"Wed",-133.230173271395
"87",2013,3,2013-03-28,549,-6.08064516129036,"Thurs",-32.8625818220974
"88",2013,3,2013-03-29,520,-35.0806451612904,"Fri",-104.512472494526
"89",2013,3,2013-03-30,513,-42.0806451612904,"Sat",-1.17449338252338
"90",2013,3,2013-03-31,426,-129.08064516129,"Sun",-26.1037118939261
"91",2013,4,2013-04-01,479,-86.9583333333334,"Mon",-90.3312969263525
"92",2013,4,2013-04-02,437,-128.958333333333,"Tues",-153.628588664717
"93",2013,4,2013-04-03,532,-33.9583333333334,"Wed",-53.1078614434381
"94",2013,4,2013-04-04,566,0.0416666666666288,"Thurs",-26.7402699941404
"95",2013,4,2013-04-05,582,16.0416666666666,"Fri",-53.3901606665693
"96",2013,4,2013-04-06,531,-34.9583333333334,"Sat",5.94781844543361
"97",2013,4,2013-04-07,451,-114.958333333333,"Sun",-11.9814000659691
"98",2013,4,2013-04-08,582,16.0416666666666,"Mon",12.6687030736475
"99",2013,4,2013-04-09,613,47.0416666666666,"Tues",22.3714113352829
"100",2013,4,2013-04-10,580,14.0416666666666,"Wed",-5.10786144343813
"101",2013,4,2013-04-11,517,-48.9583333333334,"Thurs",-75.7402699941404
"102",2013,4,2013-04-12,649,83.0416666666666,"Fri",13.6098393334307
"103",2013,4,2013-04-13,555,-10.9583333333334,"Sat",29.9478184454336
"104",2013,4,2013-04-14,472,-93.9583333333334,"Sun",9.01859993403087
"105",2013,4,2013-04-15,603,37.0416666666666,"Mon",33.6687030736475
"106",2013,4,2013-04-16,564,-1.95833333333337,"Tues",-26.6285886647171
"107",2013,4,2013-04-17,535,-30.9583333333334,"Wed",-50.1078614434381
"108",2013,4,2013-04-18,553,-12.9583333333334,"Thurs",-39.7402699941404
"109",2013,4,2013-04-19,570,4.04166666666663,"Fri",-65.3901606665693
"110",2013,4,2013-04-20,532,-33.9583333333334,"Sat",6.94781844543361
"111",2013,4,2013-04-21,471,-94.9583333333334,"Sun",8.01859993403087
"112",2013,4,2013-04-22,565,-0.958333333333371,"Mon",-4.33129692635254
"113",2013,4,2013-04-23,513,-52.9583333333334,"Tues",-77.6285886647171
"114",2013,4,2013-04-24,598,32.0416666666666,"Wed",12.8921385565619
"115",2013,4,2013-04-25,583,17.0416666666666,"Thurs",-9.74026999414039
"116",2013,4,2013-04-26,675,109.041666666667,"Fri",39.6098393334307
"117",2013,4,2013-04-27,517,-48.9583333333334,"Sat",-8.05218155456639
"118",2013,4,2013-04-28,440,-125.958333333333,"Sun",-22.9814000659691
"119",2013,4,2013-04-29,597,31.0416666666666,"Mon",27.6687030736475
"120",2013,4,2013-04-30,576,10.0416666666666,"Tues",-14.6285886647171
"121",2013,5,2013-05-01,576,-37.5241935483871,"Wed",-56.6737216584918
"122",2013,5,2013-05-02,585,-28.5241935483871,"Thurs",-55.3061302091941
"123",2013,5,2013-05-03,686,72.4758064516129,"Fri",3.04397911837702
"124",2013,5,2013-05-04,580,-33.5241935483871,"Sat",7.38195823037991
"125",2013,5,2013-05-05,515,-98.5241935483871,"Sun",4.45273971897717
"126",2013,5,2013-05-06,561,-52.5241935483871,"Mon",-55.8971571414062
"127",2013,5,2013-05-07,592,-21.5241935483871,"Tues",-46.1944488797708
"128",2013,5,2013-05-08,620,6.47580645161293,"Wed",-12.6737216584918
"129",2013,5,2013-05-09,602,-11.5241935483871,"Thurs",-38.3061302091941
"130",2013,5,2013-05-10,698,84.4758064516129,"Fri",15.043979118377
"131",2013,5,2013-05-11,523,-90.5241935483871,"Sat",-49.6180417696201
"132",2013,5,2013-05-12,527,-86.5241935483871,"Sun",16.4527397189772
"133",2013,5,2013-05-13,576,-37.5241935483871,"Mon",-40.8971571414062
"134",2013,5,2013-05-14,565,-48.5241935483871,"Tues",-73.1944488797708
"135",2013,5,2013-05-15,532,-81.5241935483871,"Wed",-100.673721658492
"136",2013,5,2013-05-16,559,-54.5241935483871,"Thurs",-81.3061302091941
"137",2013,5,2013-05-17,741,127.475806451613,"Fri",58.043979118377
"138",2013,5,2013-05-18,505,-108.524193548387,"Sat",-67.6180417696201
"139",2013,5,2013-05-19,544,-69.5241935483871,"Sun",33.4527397189772
"140",2013,5,2013-05-20,657,43.4758064516129,"Mon",40.1028428585938
"141",2013,5,2013-05-21,697,83.4758064516129,"Tues",58.8055511202292
"142",2013,5,2013-05-22,570,-43.5241935483871,"Wed",-62.6737216584918
"143",2013,5,2013-05-23,735,121.475806451613,"Thurs",94.6938697908059
"144",2013,5,2013-05-24,668,54.4758064516129,"Fri",-14.956020881623
"145",2013,5,2013-05-25,514,-99.5241935483871,"Sat",-58.6180417696201
"146",2013,5,2013-05-26,455,-158.524193548387,"Sun",-55.5472602810228
"147",2013,5,2013-05-27,420,-193.524193548387,"Mon",-196.897157141406
"148",2013,5,2013-05-28,686,72.4758064516129,"Tues",47.8055511202292
"149",2013,5,2013-05-29,574,-39.5241935483871,"Wed",-58.6737216584918
"150",2013,5,2013-05-30,685,71.4758064516129,"Thurs",44.6938697908059
"151",2013,5,2013-05-31,736,122.475806451613,"Fri",53.043979118377
"152",2013,6,2013-06-01,631,7.19166666666672,"Sat",48.0978184454337
"153",2013,6,2013-06-02,487,-136.808333333333,"Sun",-33.831400065969
"154",2013,6,2013-06-03,707,83.1916666666667,"Mon",79.8187030736476
"155",2013,6,2013-06-04,613,-10.8083333333333,"Tues",-35.478588664717
"156",2013,6,2013-06-05,599,-24.8083333333333,"Wed",-43.957861443438
"157",2013,6,2013-06-06,605,-18.8083333333333,"Thurs",-45.5902699941403
"158",2013,6,2013-06-07,791,167.191666666667,"Fri",97.7598393334308
"159",2013,6,2013-06-08,571,-52.8083333333333,"Sat",-11.9021815545663
"160",2013,6,2013-06-09,533,-90.8083333333333,"Sun",12.168599934031
"161",2013,6,2013-06-10,624,0.19166666666672,"Mon",-3.18129692635245
"162",2013,6,2013-06-11,635,11.1916666666667,"Tues",-13.478588664717
"163",2013,6,2013-06-12,615,-8.80833333333328,"Wed",-27.957861443438
"164",2013,6,2013-06-13,534,-89.8083333333333,"Thurs",-116.59026999414
"165",2013,6,2013-06-14,693,69.1916666666667,"Fri",-0.240160666569182
"166",2013,6,2013-06-15,596,-27.8083333333333,"Sat",13.0978184454337
"167",2013,6,2013-06-16,477,-146.808333333333,"Sun",-43.831400065969
"168",2013,6,2013-06-17,614,-9.80833333333328,"Mon",-13.1812969263524
"169",2013,6,2013-06-18,613,-10.8083333333333,"Tues",-35.478588664717
"170",2013,6,2013-06-19,622,-1.80833333333328,"Wed",-20.957861443438
"171",2013,6,2013-06-20,681,57.1916666666667,"Thurs",30.4097300058597
"172",2013,6,2013-06-21,690,66.1916666666667,"Fri",-3.24016066656918
"173",2013,6,2013-06-22,599,-24.8083333333333,"Sat",16.0978184454337
"174",2013,6,2013-06-23,505,-118.808333333333,"Sun",-15.831400065969
"175",2013,6,2013-06-24,680,56.1916666666667,"Mon",52.8187030736476
"176",2013,6,2013-06-25,648,24.1916666666667,"Tues",-0.478588664717037
"177",2013,6,2013-06-26,621,-2.80833333333328,"Wed",-21.957861443438
"178",2013,6,2013-06-27,598,-25.8083333333333,"Thurs",-52.5902699941403
"179",2013,6,2013-06-28,608,-15.8083333333333,"Fri",-85.2401606665692
"180",2013,6,2013-06-29,591,-32.8083333333333,"Sat",8.0978184454337
"181",2013,6,2013-06-30,423,-200.808333333333,"Sun",-97.831400065969
